Relevance;Url;Title;02/21/2015;02/22/2015;02/25/2015;02/26/2015;02/27/2015;02/28/2015;03/01/2015;03/02/2015;03/04/2015;03/05/2015;03/06/2015;03/07/2015;03/10/2015;03/11/2015;03/12/2015;03/13/2015;03/14/2015 A;03/15/2015 A;03/16/2015;03/17/2015;03/18/2015;03/19/2015 A;03/21/2015 A;03/22/2015 A;03/23/2015;03/24/2015;03/25/2015;03/26/2015;03/27/2015;03/28/2015 A;03/29/2015 A;03/30/2015;03/31/2015;04/01/2015;04/02/2015 A;04/03/2015 A
4;http://www.nymf.org/tickets/2014-events/clinton/;New York Musical Theatre Festival :: Clinton;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.desmoinesperformingarts.org/events/willis-broadway-series/346-motown/;Motown The Musical - Des Moines Performing Arts;5;17;0;0;10;14;0;0;0;0;10;12;12;0;13;0;4;2;0;0;0;0;4;3;0;4;0;0;0;0;0;0;0;0;0;0
4;http://www.memphisthemusical.com/;Memphis The Musical - Home;4;8;12;9;7;11;14;7;13;15;11;13;13;14;0;18;0;0;13;11;9;10;17;14;7;12;7;7;6;12;10;9;0;5;3;6
2;http://baysidethemusical.com/;Bayside! The Musical!;3;5;8;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
3;http://anniethemusical.com/;ANNIE The Musical - Home;2;0;0;0;0;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://www.starstreams.com/;Musical Starstreams;1;16;14;8;0;0;2;12;15;19;0;4;4;18;5;19;16;15;14;13;12;14;15;13;4;11;6;8;9;13;9;8;2;9;4;7
1;http://atlanta.craigslist.org/search/msa;atlanta musical instruments - craigslist;0;42;43;43;41;41;41;0;41;41;0;40;42;41;0;41;0;41;41;41;41;41;41;41;0;41;0;0;45;0;0;0;0;0;0;0
1;https://twitter.com/musical50shades;50Shades!The Musical (@Musical50Shades) | Twitter;0;19;0;10;25;28;28;8;0;0;23;0;28;0;0;14;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://musical-treasures.tumblr.com/videos;Videos - musical-treasures - Tumblr;0;18;0;0;11;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://putlocker.is/watch-high-school-musical-online-free-putlocker.html;Watch High School Musical Online Free Putlocker ...;0;15;0;0;0;0;0;15;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0
